sku,barcode,name,category_main,category_sub,cost,price_retail,price_credit,unit,source,date_bought
,8851316006932,ดินสอสีคอลลีน 48 ด้าม 48 สี #775 P6,,, 163.33 , 225.00 , 235.00 ,กล่อง,อ.อัษฎางค์,22 March 2568
,8851316000091,ดินสอสีคอลลีน 6 ด้าม 12 สี #787,,, 23.96 , 38.00 , 40.00 ,กล่อง,อ.อัษฎางค์,22 March 2568
,28851907097039,ตราช้าง กาวแท่ง Sticko 22 กรัม,,, 21.15 , 35.00 , 40.00 ,แท่ง,อ.อัษฎางค์,22 March 2568
,28851907159591,ตราช้าง ใบมีดแบบกล่อง รุ่น 1830 ขนาด 18 มม.,,, 25.00 , 35.00 , 35.00 ,กล่อง,อ.อัษฎางค์,22 March 2568
,8851907126845,ตราช้าง ใบมีดแบบกล่อง รุ่น 945 ขนาด 9 มม.,,, 15.80 , 25.00 , 26.00 ,กล่อง,อ.อัษฎางค์,22 March 2568
,8851907327996,ตราช้าง ปากกา ดริฟท์ 0.7 นง. แดง. (โทริโอะ),,, 3.00 , 7.00 , 7.00 ,แท่ง,อ.อัษฎางค์,22 March 2568
,8851907102449,ตราช้าง ฟิล์มเคลือบบัตร A4 125MiC 100 แผ่น,,, 185.00 , 249.00 , 290.00 ,แพค,อ.อัษฎางค์,22 March 2568
,6854556000319,น้ำยาลบคำผิด Papermate 7 ml.,,, 44.17 , 65.00 , 78.00 ,แท่ง,อ.อัษฎางค์,22 March 2568
,90046438,"บีเพน ปากกาลูกลื่น L, M คละลาย P12",,, 7.08 , 13.00 , 13.00 ,แท่ง,อ.อัษฎางค์,22 March 2568
,8858201014218,ปากกา Sepia หมึกน้ำมัน 0.7mm น้ำเงิน,,, 2.30 , 5.00 , 5.00 ,แท่ง,อ.อัษฎางค์,22 March 2568
,8858201008606,ปากกาลบคำผิด M-TEC NO.299 กลิ่นผลไม้,,, 6.42 , 10.00 , 12.00 ,แท่ง,อ.อัษฎางค์,22 March 2568
,765531632006,ปากกาลูกลื่น Diamond Focus 1.0,,, 2.36 , 5.00 , 5.00 ,แท่ง,อ.อัษฎางค์,22 March 2568
,8852246876794,ปากกาลูกลื่น G-106 0.5 คละลาย P4 x x12.00,,, 3.75 , 25.00 , 25.00 ,แท่ง,อ.อัษฎางค์,22 March 2568
,8852398129212,ปากกาลูกลื่น YOYA-1052-BL-50 น้ำเงิน,,, 1.90 , 5.00 , 5.00 ,แท่ง,อ.อัษฎางค์,22 March 2568
,88523298133455,ปากกาลูกลื่น YOYA-1052-R-50 แดง,,, 1.90 , 5.00 , 5.00 ,แท่ง,อ.อัษฎางค์,22 March 2568
,8851552209623,ปากกาไวท์บอร์ด Horse #22 ดำ,,, 9.83 , 18.00 , 18.00 ,แท่ง,อ.อัษฎางค์,22 March 2568
,8851552209630,ปากกาไวท์บอร์ด Horse #22 แดง,,, 9.83 , 18.00 , 18.00 ,แท่ง,อ.อัษฎางค์,22 March 2568
,8851552209616,ปากกาไวท์บอร์ด Horse #22 น้ำเงิน,,, 9.83 , 18.00 , 18.00 ,แท่ง,อ.อัษฎางค์,22 March 2568
,4970129041016,ปากกาหัวเข็ม Lee Pen ดำ NO.8500,,, 15.42 , 25.00 , 25.00 ,แท่ง,อ.อัษฎางค์,22 March 2568
